"id","trial","center.N","rmse.N","rmse.V","valid.newtons","valid.volts","block","order"
53,7,11.2102413770413,2.02046486546087,0.0771199231062587,0.7068,0.7068,"First",26
53,8,11.2102413770413,1.60940537069546,0.0614300305620618,0.7324,0.7324,"First",26
53,9,11.2102413770413,4.65562854024137,0.177702528349989,0.3816,0.3816,"First",26
53,10,11.2102413770413,1.58893518526256,0.0606486959526149,0.6912,0.6912,"First",26
716,1,11.9718678396486,2.14411645822143,0.0818396296889739,0.8392,0.8392,"First",27
716,2,11.9718678396486,0.616735695335361,0.0235404288459621,0.9816,0.9816,"First",27
716,3,11.9718678396486,4.13864617550236,0.157969623859779,0.7048,0.7048,"First",27
716,4,11.9718678396486,1.21688835110018,0.0464478930913464,0.8712,0.8712,"First",27
716,5,11.9718678396486,0.370944587767002,0.0141587307823582,1,1,"First",27
716,6,11.9718678396486,0.610846036646976,0.0233156241324851,0.9376,0.9376,"First",27
716,7,11.9718678396486,0.406837969282695,0.0155287594672581,1,1,"First",27
716,8,11.9718678396486,0.318874744046855,0.0121712563092811,1,1,"First",27
716,9,11.9718678396486,0.273272967465447,0.0104306640507442,1,1,"First",27
716,10,11.9718678396486,0.361555441634951,0.0138003527476221,1,1,"First",27
259,1,9.75839098762191,0.881368479268906,0.0336413023118786,0.864,0.864,"Second",28
259,2,9.75839098762191,12.5500951022799,0.479029547016294,0,0,"Second",28
259,3,9.75839098762191,5.15494177174565,0.1967610127007,0.0664,0.0664,"Second",28
259,4,9.75839098762191,7.59979300427867,0.290079507014721,0.01,0.01,"Second",28
259,5,9.75839098762191,2.43887182413876,0.0930902639084987,0.214,0.214,"Second",28
259,6,9.75839098762191,4.27596065512996,0.163210834578799,0.178,0.178,"Second",28
259,7,9.75839098762191,1.36095184292137,0.0519467095278968,0.6236,0.6236,"Second",28
259,8,9.75839098762191,4.91203054798925,0.187489238062111,0.1744,0.1744,"Second",28
259,9,9.75839098762191,2.06934980164406,0.0789858315830397,0.682,0.682,"Second",28
259,10,9.75839098762191,1.15891732201691,0.044235173938582,0.738,0.738,"Second",28
926,1,13.0327047377734,9.0914712544241,0.34701596451865,0,0,"Second",29
926,2,13.0327047377734,10.9992216222218,0.419833643353632,0.0052,0.0052,"Second",29
926,3,13.0327047377734,11.1124068350141,0.424153854536972,0.0056,0.0056,"Second",29
926,4,13.0327047377734,10.6420840295498,0.406201917231566,0,0,"Second",29
926,5,13.0327047377734,11.7511131477065,0.448532888572331,0.01,0.01,"Second",29
926,6,13.0327047377734,12.455185403681,0.475406901167258,0.0052,0.0052,"Second",29
926,7,13.0327047377734,10.6880135045384,0.407955017540304,0.0068,0.0068,"Second",29
926,8,13.0327047377734,11.2149075956876,0.42806624663871,0.0124,0.0124,"Second",29
926,9,13.0327047377734,11.5480443316637,0.440781874562531,0.0076,0.0076,"Second",29
926,10,13.0327047377734,11.7778880584246,0.449554870736465,0,0,"Second",29
637,1,20.3667616635942,6.87637697340555,0.262467154219839,0.3416,0.3416,"First",30
637,2,20.3667616635942,7.29086170137614,0.278287785845877,0.278,0.278,"First",30
637,3,20.3667616635942,12.9572209346123,0.494569294042227,0.0488,0.0488,"First",30
637,4,20.3667616635942,12.9421827644285,0.493995296172697,0.1136,0.1136,"First",30
637,5,20.3667616635942,13.76898907685,0.525553993543645,0.0848,0.0848,"First",30
637,6,20.3667616635942,15.8199152396284,0.603836605963143,0.0028,0.0028,"First",30
637,7,20.3667616635942,14.5846267455179,0.556686390530858,0.0496,0.0496,"First",30
637,8,20.3667616635942,16.7666148507791,0.639971558104474,0.0212,0.0212,"First",30
637,9,20.3667616635942,16.3265271970967,0.623173678273852,0.0176,0.0176,"First",30
637,10,20.3667616635942,14.5614845907077,0.555803068464737,0.0668,0.0668,"First",30
692,1,17.830272370878,6.69751301058657,0.255640024832496,0.6268,0.6268,"First",31
692,2,17.830272370878,1.37928346975523,0.0526464166477815,0.912,0.912,"First",31
692,3,17.830272370878,5.73358218620681,0.218847367693683,0.7672,0.7672,"First",31
692,4,17.830272370878,1.36617408162027,0.0521460392236448,0.9044,0.9044,"First",31
692,5,17.830272370878,2.19205251742238,0.0836693201046748,0.904,0.904,"First",31
692,6,17.830272370878,1.42504222884013,0.0543930008336247,0.9404,0.9404,"First",31
692,7,17.830272370878,3.01653874505208,0.115139461240966,0.7132,0.7132,"First",31
692,8,17.830272370878,2.32047218984968,0.0885710214072933,0.818,0.818,"First",31
692,9,17.830272370878,6.62053353371473,0.252701764712956,0.3152,0.3152,"First",31
692,10,17.830272370878,11.2100137455676,0.4278794513366,0.284,0.284,"First",31
103,1,16.3954220825419,11.6284214684006,0.443849821306181,0.0576,0.0576,"Second",32
103,2,16.3954220825419,8.52868798619964,0.325534867216292,0.1928,0.1928,"Second",32
103,3,16.3954220825419,8.93181435305375,0.340921957061482,0.2176,0.2176,"Second",32
103,4,16.3954220825419,8.81783582324929,0.336571465447127,0.2604,0.2604,"Second",32
103,5,16.3954220825419,7.05916022776229,0.269443880597057,0.4416,0.4416,"Second",32
103,6,16.3954220825419,8.71937000326628,0.332813084593545,0.1592,0.1592,"Second",32
103,7,16.3954220825419,8.54113437155119,0.326009938224787,0.2584,0.2584,"Second",32
103,8,16.3954220825419,8.16467248928078,0.311640615644902,0.2984,0.2984,"Second",32
103,9,16.3954220825419,10.8587472722099,0.414471822291306,0.1292,0.1292,"Second",32
103,10,16.3954220825419,11.3561708315405,0.433458178996926,0,0,"Second",32
511,1,15.5895939019435,1.5863792009765,0.0605511355767967,0.8416,0.8416,"Second",33
511,2,15.5895939019435,1.14400781275862,0.0436660869788398,0.9176,0.9176,"Second",33
511,3,15.5895939019435,1.14329748385561,0.0436389741538079,0.9272,0.9272,"Second",33
511,4,15.5895939019435,1.84257655253594,0.0703300336858634,0.6872,0.6872,"Second",33
511,5,15.5895939019435,2.89314615764091,0.110429640735941,0.7448,0.7448,"Second",33
511,6,15.5895939019435,1.335530555753,0.0509763943567694,0.8552,0.8552,"Second",33
