,Subject,Trial,variable,value
155,S1015,tr5,1,0.2008217412178753
156,S1015,tr6,1,0.2186821239628662
157,S1015,tr7,1,0.17843731737405805
158,S1015,tr8,1,0.1167613915751593
159,S1015,tr9,1,0.24750672685560016
160,S1016,tr1,1,0.15278790879202792
161,S1016,tr10,1,0.06374207824567484
162,S1016,tr2,1,0.1525160924652385
163,S1016,tr3,1,0.18051138443166653
164,S1016,tr4,1,0.221265476215432
165,S1016,tr5,1,0.1985184810230585
166,S1016,tr6,1,0.14233026968893
167,S1016,tr7,1,0.2722524750904775
168,S1016,tr8,1,0.24986306325946694
169,S1016,tr9,1,0.502895763027204
170,S1017,tr1,1,0.28224871708627197
171,S1017,tr10,1,0.18606860466534592
172,S1017,tr2,1,0.47014655194632243
173,S1017,tr3,1,0.1968649416929172
174,S1017,tr4,1,0.2993278685963055
175,S1017,tr5,1,0.3196409832309809
176,S1017,tr6,1,0.32268596803977695
177,S1017,tr7,1,0.17764623601380372
178,S1017,tr8,1,0.2694326298905789
179,S1017,tr9,1,0.34317642901972945
180,S1018,tr1,1,0.24817384331434814
181,S1018,tr10,1,0.33434852617825345
182,S1018,tr2,1,0.3230319876984823
183,S1018,tr3,1,0.10845211955773804
184,S1018,tr4,1,0.21862720732112514
185,S1018,tr5,1,0.11563018229528245
186,S1018,tr6,1,0.20212045883514063
187,S1018,tr7,1,0.20363580133756237
188,S1018,tr8,1,0.20402728422030927
189,S1018,tr9,1,0.2999018387172033
190,S1019,tr1,1,0.12009727799784414
191,S1019,tr10,1,0.30790227676343135
192,S1019,tr2,1,0.3236283684703505
193,S1019,tr3,1,0.19664786363105324
194,S1019,tr4,1,0.22976814487089076
195,S1019,tr5,1,0.24992507070695355
196,S1019,tr6,1,0.2671158286904895
197,S1019,tr7,1,0.28190332320886635
198,S1019,tr8,1,0.29032796551383055
199,S1019,tr9,1,0.24521057494664014
200,S1020,tr1,1,0.3191047724709117
201,S1020,tr10,1,0.4784280352855399
202,S1020,tr2,1,0.4922408579915551
203,S1020,tr3,1,0.5262574661939828
204,S1020,tr4,1,0.4990135924205553
205,S1020,tr5,1,0.5294812371649907
206,S1020,tr6,1,0.5399285914719841
207,S1020,tr7,1,0.5395004546929286
208,S1020,tr8,1,0.4506393289844651
209,S1020,tr9,1,0.39620832156417973
210,S1021,tr1,1,0.3508463701903309
211,S1021,tr10,1,0.42482336777169977
212,S1021,tr2,1,0.19598732037655744
213,S1021,tr3,1,0.29219161160369184
214,S1021,tr4,1,0.36409825804575485
215,S1021,tr5,1,0.09100295838063419
216,S1021,tr6,1,0.11379076835929108
217,S1021,tr7,1,0.4169514505315406
218,S1021,tr8,1,0.055776608747967055
219,S1021,tr9,1,0.24923226957008668
220,S1022,tr1,1,0.1179689955679536
221,S1022,tr10,1,0.4019839677724357
222,S1022,tr2,1,0.12289179089408002
223,S1022,tr3,1,0.19903616456716375
224,S1022,tr4,1,0.1697805845949004
225,S1022,tr5,1,0.31026337353391314
226,S1022,tr6,1,0.5356469239103084
227,S1022,tr7,1,0.21561118809459306
228,S1022,tr8,1,0.2276891180380969
229,S1022,tr9,1,0.14758898368619633
230,S1023,tr1,1,0.2846740437121981
231,S1023,tr10,1,0.3729153846469042
232,S1023,tr2,1,0.08566368868799927
233,S1023,tr3,1,0.23100853651495418
234,S1023,tr4,1,0.1975656853297698
235,S1023,tr5,1,0.18486844359982157
236,S1023,tr6,1,0.17203215163550523
237,S1023,tr7,1,0.329704286006764
238,S1023,tr8,1,0.10394168321501246
239,S1023,tr9,1,0.1437326756400234
240,S1024,tr1,1,0.08403552591489977
241,S1024,tr10,1,0.06023760699146792
242,S1024,tr2,1,0.4784813848446456
243,S1024,tr3,1,0.039968335311486226
244,S1024,tr4,1,0.306664039900811
245,S1024,tr5,1,0.17831884682803145
246,S1024,tr6,1,0.35426565043866565
247,S1024,tr7,1,0.1910004866386625
248,S1024,tr8,1,0.21795891423160768
249,S1024,tr9,1,0.08219097885461647
250,S1025,tr1,1,0.21584054405788236
251,S1025,tr10,1,0.30692538867786684
252,S1025,tr2,1,0.20183230143867945
253,S1025,tr3,1,0.14883950702174506
254,S1025,tr4,1,0.15046293860266488
255,S1025,tr5,1,0.12403526463669144
256,S1025,tr6,1,0.18905129091329484
257,S1025,tr7,1,0.17403047685283005
258,S1025,tr8,1,0.21348335183711217
259,S1025,tr9,1,0.23346421174727353
260,S1026,tr1,1,0.15985765438256302
